,countryName,numCases,numDeaths,numRecovered,numDoctors,numHospitalBeds,travelAdv
91,Saudi Arabia,31938,209,6783,2.39,2.7,"All international flights suspended, except in exceptional cases, for a period of two weeks, as of 15 March 2020. The Saudi Ministry of Foreign Affairs recently issued a statement announcing that all religious visits (Umrah) to the sacred Muslim sites of Mecca and Medina have to be cancelled or postponed for the time being."
92,Serbia,9791,203,1971,3.13,5.7,Closed its borders on 16 March.
93,Seychelles,11,0,8,0.95,3.6,"Effective 30 March 2020, Passengers are not allowed to enter Seychelles except specified categories of passengers."
94,Singapore,20198,20,1634,2.31,2.4,"All foreigners are prohibited to entry and transit starting from 23 March, 11.59pm. Only people working in essential services like healthcare services and transport will be allowed into Singapore during this time."
95,Singapore,20198,20,1634,2.31,2.4,"Effective 20 March 2020, all arrivals from abroad will be issued Stay-Home Notices lasting 14 days."
96,Slovakia,1429,25,762,2.46,5.8,Closed its borders to all non-residents on 13 March.  Closed all three international airports and require all residents returning from abroad to 14 days quarantine in government designated quarantine facility.  Violators may be fined up to 1659 EUR.
97,South Africa,7808,153,3153,0.91,2.8,"Ban on entry to all including South African citizens. This decision was made hours before lockdown officially began on 26 March at midnight. The Minister of Transport, Fikile Mbalula had hastily made the decision leaving over 3000 South African citizens stranded in foreign countries across the globe without support. It also left 6000 tourists within South Africa's borders stranded with no way to go home. After two weeks, plans were made to get the 6000 tourists home but no plans have been made for the 80 percent of South Africans left stranded. Three repatriation missions from Brazil, Germany and Botswana have been made as those yielded political points with the respective governments."
98,Spain,220325,25857,126002,4.07,3.0,Closed borders to non-residents on 17 March.
99,Sri Lanka,797,9,215,0.96,3.6,"Effective 8 April 2020, visas and ETAs issued by Sri Lanka have been invalidated. All airports in Sri Lanka are closed."
100,Sudan,852,49,80,0.41,0.8,"Effective 17 March 2020 Sudan declared a state of emergency and closed all airports and land borders, this after one person died of COVID-19 in the country."
101,Suriname,10,1,9,1.23,3.1,Will close its borders for all persons and flights starting 14 March.
102,Sweden,23918,2941,4074,5.4,2.6,"beginning 15 March 2020 there is an entry ban which applies to all foreign citizens attempting to enter Sweden from all countries except those in the EEA, the UK and Switzerland."
103,Switzerland,30060,1805,25700,4.24,4.7,"Borders closed to foreigners, starting 17 March 2020."
